"GENCOD";"CODCLA";"LIBCLA";"CODFAM";"LIBFAM";"CODTYPPDT";"LIBTYPPDT"
"3526353046962";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047143";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047235";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047266";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047303";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047648";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047662";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047754";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353047785";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048140";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048256";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048362";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048386";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048409";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048423";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048447";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353048775";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353042759";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353043275";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353043640";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353043701";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353044555";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353044586";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353044623";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353044760";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353044838";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353045033";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353045156";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353045170";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353045194";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046511";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046528";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046559";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040687";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040694";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040700";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040717";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040724";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040731";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353040748";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
